Basin,Elevation Band,% of 2/1 Average,SWE (in.),SCA,Area (mi2),Vol (AF),Pillows,Surveys
1. Alvord Lake,"6,000",74,2.9,37.2,241.41,"37,820",NA,NA
,"7,000",106,8.6,82.5,69.88,"31,976",NA,NA
,"8,000",111,13.6,95.2,11.2,"8,136",NA,NA
,"9,000",104,13.8,92.4,1.54,"1,133",NA,NA
2. Bitterroot,"5,000",70,2.6,37.4,657.53,"91,141",10.2 ( 2 ),3.2 ( 1 )
,"6,000",85,4.3,45.8,707.44,"162,655",13.7 ( 2 ),NA
,"7,000",109,8.4,69,495.95,"222,494",11.2 ( 1 ),NA
,"8,000",117,12.2,87.4,89.09,"57,988",NA,NA
,"9,000",105,12.4,92.9,2.22,"1,469",NA,NA
3. Carson,"5,000",3,0,0.9,618.92,454,NA,NA
,"6,000",16,0.3,6.6,351.45,"5,512",NA,NA
,"7,000",59,3.6,42.9,219.69,"41,983",7.6 ( 1 ),1.8 ( 1 )
,"8,000",76,8.5,76.4,156.66,"71,223",9.9 ( 5 ),NA
,"9,000",75,10.8,83.8,47.88,"27,462",NA,NA
,">10,000",72,11.4,85.2,10.62,"6,439",NA,NA
4. Clearwater Basin,"3,000",98,2.2,25.4,2294.32,"263,491",4.5 ( 1 ),NA
,"4,000",91,2.6,26.2,1963.23,"275,202",13.6 ( 2 ),NA
,"5,000",147,5.4,43,1808.31,"518,804",22.5 ( 5 ),NA
,"6,000",166,9.5,67.8,1146.92,"580,885",15.7 ( 3 ),NA
,"7,000",140,12,80.6,261.78,"167,281",NA,NA
,"8,000",119,13.4,90.6,13.22,"9,450",NA,NA
5. Clover Valley and Franklin,"5,000",14,0.1,13.6,727.22,"5,548",NA,NA
,"6,000",43,1,46.6,2366.23,"122,277",NA,NA
,"7,000",57,2,59.9,755.89,"82,460",7.0 ( 1 ),NA
,"8,000",73,4.3,76.1,157.63,"35,880",7.3 ( 1 ),NA
,"9,000",86,8.6,94.3,35.81,"16,417",NA,12.0 ( 1 )
,"10,000",85,9.1,95.6,5.6,"2,726",NA,NA
6. Donner und Blitzen,"6,000",111,8.4,87.7,143.05,"63,715",12.9 ( 1 ),NA
,"7,000",120,12.8,91.9,58.49,"39,808",28.3 ( 1 ),NA
,"8,000",115,14,90.7,17.95,"13,409",NA,NA
,"9,000",114,14,89,2.22,"1,656",NA,NA
7. Dry Lake Valley,"7,000",2,0,1.5,226.16,316,NA,NA
,"8,000",25,0.5,15,51.64,"1,442",NA,NA
,"9,000",35,1.1,21.3,8.78,516,NA,NA
,"10,000",56,3,43.1,2.03,321,NA,NA
8. Eastern Nevada,"7,000",34,0.9,27.5,2846.83,"136,385",2.2 ( 1 ),6.6 ( 1 )
,"8,000",46,1.8,38.4,1107.53,"104,020",3.9 ( 3 ),NA
,"9,000",52,2.5,46.1,308.01,"40,444",5.4 ( 2 ),NA
,"10,000",66,4.4,63.9,93.44,"22,146",3.6 ( 2 ),NA
,">11,000",70,5.4,74.4,16.6,"4,751",NA,NA
9. Flathead,"3,000",70,1.2,15.6,2020.18,"125,509",6.4 ( 1 ),NA
,"4,000",97,2,22.2,1900.2,"197,627",6.3 ( 3 ),5.0 ( 4 )
,"5,000",90,2.1,21.2,1689.1,"192,549",18.2 ( 2 ),7.8 ( 3 )
,"6,000",96,3.8,33,1391.99,"282,599",18.5 ( 4 ),17.5 ( 3 )
,"7,000",111,6.7,57.6,483.01,"173,644",NA,NA
,"8,000",119,9.4,68.1,39.96,"19,997",NA,NA
,"9,000",133,8,44.9,1.54,655,NA,NA
10. Grande Ronde-Burnt-Powder_Imnaha,"4,000",106,5.3,57.6,3094.51,"867,085",2.6 ( 1 ),6.4 ( 1 )
,"5,000",102,6.9,62.7,1376.07,"509,329",15.4 ( 7 ),NA
,"6,000",107,9.9,69.3,485.33,"255,412",NA,6.4 ( 1 )
,"7,000",109,16.4,87.3,273.55,"239,575",9.8 ( 2 ),16.2 ( 1 )
,"8,000",104,18.9,92.2,79.25,"79,690",NA,NA
,"9,000",101,15.3,90,2.8,"2,290",NA,NA
11. Guano,"5,000",22,0.3,4.7,1484.27,"23,255",NA,NA
,"6,000",47,1.5,18.3,527.22,"42,196",NA,NA
,"7,000",109,8.9,82.2,24.81,"11,806",NA,NA
12. Harney-Malheur Lakes,"5,000",99,4.4,51,248.46,"58,145",NA,NA
,"6,000",107,7.6,90.6,27.9,"11,300",NA,NA
13. John Day,"5,000",87,4.4,47,1198.56,"283,050",15.0 ( 2 ),NA
,"6,000",108,8.6,63.1,248.84,"114,475",NA,NA
,"7,000",123,15,88.5,52.7,"42,149",NA,NA
,"8,000",115,17.2,99.6,1.74,"1,592",NA,NA
14. Kootenai,"4,000",79,1.3,13,887.17,"60,419",8.2 ( 2 ),NA
,"5,000",109,3.2,26.1,611.68,"105,951",13.5 ( 2 ),17.2 ( 1 )
,"6,000",163,8.8,56.4,165.93,"77,957",21.5 ( 1 ),NA
,">7,000",164,13.3,76.1,7.82,"5,556",NA,NA
15. Lake County-Goose Lake,"5,000",69,2.2,24.1,2688.14,"322,145",1.6 ( 1 ),NA
,"6,000",109,7.3,61.1,797.3,"311,136",NA,11.4 ( 1 )
,"7,000",119,12.3,82.7,115.06,"75,705",22.3 ( 1 ),NA
,"8,000",126,17.4,97.3,1.74,"1,616",NA,NA
16. Little Humboldt,"6,000",68,2,26,325.77,"34,436",5.6 ( 2 ),NA
,"7,000",99,7.4,79.1,81.76,"32,127",NA,NA
,"8,000",98,10.4,93.2,10.91,"6,069",12.2 ( 1 ),NA
,"9,000",100,11.5,100,0.58,353,NA,NA
17. Lower Clark Fork,"5,000",164,4.6,40,1091.12,"268,093",29.8 ( 1 ),16.0 ( 1 )
,"6,000",198,8.7,64.3,349.71,"162,015",19.4 ( 1 ),20.6 ( 1 )
,"7,000",183,10.3,80.6,24.13,"13,223",16.7 ( 1 ),NA
,"8,000",143,9,60.5,0.39,185,NA,NA
18. Lower Humboldt,"6,000",14,0.2,3.7,212.65,"2,234",4.1 ( 1 ),NA
,"7,000",66,2.8,38.4,47.1,"7,023",NA,NA
,"8,000",88,6,70.5,14,"4,463",NA,NA
,"9,000",98,7.3,87.4,0.48,186,NA,NA
19. Lower Pend Oreille,"5,000",126,7.1,47.2,107.92,"40,953",17.5 ( 1 ),NA
,">6,000",143,14.6,82,21.04,"16,426",NA,NA
20. Lower Snake-Asotin,"3,000",38,0.4,5.5,190.44,"4,305",0.4 ( 1 ),NA
,"4,000",105,4.5,55.3,98.17,"23,758",NA,NA
,"5,000",110,9.4,88.3,38.51,"19,255",7.5 ( 1 ),NA
,"6,000",116,15.9,96,1.16,982,NA,NA
