,2/1/2025,2/16/2025,2/1/2025,2/16/2025,2/16/2025,2/16/2025,2/16/2025,2/1/2025,2/16/2025
Basins,% 2/1 Avg.,% 2/16 Avg.,SWE (in),SWE (in),% SCA,Vol (af),Area (mi2),Pillows,Pillows
1. Bear,76,96,5.5,7.8,79.2,"2,562,396",6181.98,8.6 ( 18 ),12.6 ( 18 )
2. Beaver,31,52,0.6,1.5,26,"68,251",835.62,6.4 ( 2 ),7.8 ( 2 )
3. Blue,90,103,7.1,9.4,79.8,"333,668",668.73,10.3 ( 5 ),12.3 ( 5 )
4. Canadian,46,55,1.5,1.7,39.9,"116,430",1265.26,3.7 ( 1 ),4.2 ( 2 )
5. Colorado Headwaters,89,95,6.6,8.2,79.6,"1,256,654",2872.5,9.1 ( 13 ),11.0 ( 13 )
6. Colorado Headwaters-Plateau,75,75,4.6,6.2,70.5,"599,479",1801.26,7.3 ( 1 ),9.4 ( 1 )
7. Eagle,81,97,5.9,8.6,79,"424,952",921.34,8.2 ( 3 ),10.7 ( 3 )
8. Gila,1,2,0,0,0.6,"2,091",4924.35,0.4 ( 5 ),0.2 ( 5 )
9. Gunnison,78,77,5.4,6.5,78.8,"2,230,445",6433.62,7.7 ( 11 ),9.5 ( 11 )
10. Little Colorado,0,1,0,0,0.8,"8,065",16380.09,1.4 ( 5 ),2.9 ( 5 )
11. Lower Colorado Mainstream,3,4,0,0,1.2,"20,351",10695.42,1.7 ( 5 ),3.4 ( 5 )
12. Lower Green,57,71,3.7,5.8,71,"1,747,004",5648,5.6 ( 24 ),7.1 ( 23 )
13. Lower Rio Grande,12,11,0.2,0.2,5.6,"21,423",1794.8,1.9 ( 4 ),1.7 ( 6 )
14. Lower Sevier,43,71,1.3,3.5,55,"167,267",896.82,5.1 ( 3 ),6.6 ( 4 )
15. Pecos,59,56,2.2,2.4,48.3,"42,772",331.18,2.7 ( 2 ),3.0 ( 2 )
16. Provo-Utah Lake-Jordan,62,85,4,6.4,73,"914,794",2680.71,9.4 ( 13 ),14.5 ( 17 )
17. Rio Chama-Upper Rio Grande,19,21,0.7,0.9,18,"247,942",5206.68,3.1 ( 13 ),3.6 ( 13 )
18. Rio Grande Headwaters,48,50,2.2,2.6,42.9,"1,059,008",7594.05,5.6 ( 14 ),6.2 ( 14 )
19. Roaring Fork,81,93,6.8,9.8,87.5,"713,352",1358.6,8.9 ( 7 ),11.1 ( 7 )
20. Salt,0,0,0,0,0.4,673,2362.08,0.4 ( 8 ),0.8 ( 6 )
21. San Juan,27,28,1.3,1.5,19,"523,598",6406.3,6.0 ( 15 ),7.8 ( 15 )
22. San Pitch,44,57,2.3,3.6,45,"162,869",857.63,7.7 ( 6 ),9.5 ( 6 )
23. South Platte,87,92,3.8,4.8,64.2,"1,453,294",5620.39,8.0 ( 21 ),9.4 ( 21 )
24. Southwestern Utah,10,14,0.2,0.3,5.1,"19,484",1439.77,1.9 ( 5 ),2.9 ( 4 )
25. Toole Valley-Vernon Creek,46,80,1.3,2.6,45.1,"124,181",906.47,7.0 ( 4 ),9.2 ( 4 )
26. Upper Arkansas,77,85,2.9,3.2,48.2,"1,011,079",5876.67,5.6 ( 7 ),6.1 ( 7 )
27. Upper Colorado-Dirty Devil,28,33,1.1,1.7,26.9,"228,881",2598.37,3.1 ( 7 ),3.6 ( 7 )
28. Upper Colorado-Dolores,46,46,2.4,2.9,45.6,"534,684",3433.8,6.5 ( 7 ),8.4 ( 8 )
29. Upper Sevier,29,36,1.1,1.8,32.7,"363,786",3758.51,3.7 ( 15 ),4.9 ( 16 )
30. Verde,0,0,0,0,0.8,768,1817.09,0.5 ( 7 ),1.2 ( 7 )
31. Weber-Ogden,72,92,5.5,8.2,84.5,"890,314",2040.84,9.0 ( 16 ),13.6 ( 17 )
32. White-Yampa,85,91,6.2,8,81.4,"2,525,086",5948.1,11.1 ( 14 ),13.8 ( 15 )
