 ,5/17/2025,5/26/2025,5/17/2025,5/26/2025,5/26/2025,5/26/2025,5/26/2025,5/17/2025,5/26/2025
Basin,%5/17 Avg.,%5/26 Avg/,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows
21. Lower Snake-Tucannon,125,86,0.9,0.1,1.5,532,109,NA,NA
22. Lower Yakima,83,79,0.5,0.2,2,"4,050",489,2.6 ( 2 ),0.0 ( 2 )
23. Malheur,172,103,0.6,0.2,1.9,"8,118",992,0.0 ( 3 ),0.0 ( 3 )
24. Middle Humboldt,285,61,0,0,0,23,633,NA,NA
25. Northern Big Smoky Valley,53,38,0.2,0,0.6,"1,000",570,NA,NA
26. Northern Great Basin,116,58,0.1,0,0.2,"1,000","2,226",0.0 ( 2 ),0.0 ( 2 )
27. Panhandle Basins,71,86,2.1,0.9,13.4,"78,414","1,644",19.6 ( 3 ),15.5 ( 3 )
28. Reese,84,41,0.2,0,0.6,680,491,0.2 ( 2 ),0.1 ( 2 )
29. Rock,180,0,0,0,0,0,835,0.1 ( 1 ),0.0 ( 1 )
30. Salmon Basin,70,96,2.8,1.4,15.7,"859,604","11,932",8.8 ( 11 ),5.1 ( 11 )
31. Silver,15,0,0,0,0,0,431,NA,NA
32. Silvies,80,61,0,0,0.2,824,"1,316",0.0 ( 1 ),0.0 ( 2 )
33. Southern Snake Basins,132,84,0.2,0,0.4,"18,663","12,500",1.3 ( 13 ),0.2 ( 13 )
34. Spokane,74,87,0.5,0.1,2.4,"24,521","3,146",1.8 ( 8 ),0.8 ( 8 )
35. St. Mary,79,96,4.3,2.8,22.4,"96,203",648,0.0 ( 1 ),0.0 ( 1 )
36. Truckee,55,14,0.7,0.1,3.7,"9,022","1,420",8.9 ( 9 ),5.7 ( 9 )
37. Umatilla-Walla Walla-Willow,116,71,0.3,0,0.7,"2,342","1,434",5.6 ( 7 ),3.0 ( 7 )
38. Upper Humboldt,100,138,0.3,0.1,1.7,"38,364","5,032",3.3 ( 8 ),2.1 ( 8 )
39. Walker,68,27,0.8,0.2,4.9,"22,113","1,939",8.1 ( 7 ),0.2 ( 6 )
40. West Central Basins,79,87,2.5,1.1,10.9,"314,751","5,620",6.9 ( 15 ),4.2 ( 15 )
