 ,5/11/2025,5/17/2025,5/11/2025,5/17/2025,5/17/2025,5/17/2025,5/17/2025,5/11/2025,5/17/2025
Basin,%5/11 Avg.,%5/17 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows
1. Bear,43,55,0.6,0.6,11.8,"190,485","6,181",4.7 ( 18 ),3.5 ( 18 )
2. Beaver,33,28,0.2,0.1,4.8,"5,786",836,6.8 ( 2 ),6.0 ( 2 )
3. Blue§,44,61,4.1,4.2,45.7,"149,239",670,12.1 ( 5 ),10.4 ( 5 )
4. Canadian,46,50,0.1,0,1.4,"2,931","1,265",2.6 ( 2 ),0.2 ( 2 )
5. Colorado Headwaters§,43,62,2.1,2.2,28.6,"335,160","2,874",9.5 ( 13 ),8.0 ( 13 )
6. Colorado Headwaters-Plateau,35,31,0.7,0.5,8,"45,261","1,801",1.9 ( 1 ),0.2 ( 1 )
7. Eagle,40,50,2.1,2,25,"100,418",921,0.1 ( 3 ),0.0 ( 3 )
8. Gila,0,0,0,0,0,0,"4,924",0.0 ( 6 ),0.0 ( 6 )
9. Gunnison§,40,38,1.2,0.8,14.6,"280,961","6,433",2.0 ( 11 ),1.2 ( 11 )
10. Little Colorado,33,16,0,0,0,281,"16,379",0.5 ( 5 ),0.4 ( 5 )
11. Lower Colorado Mainstream,4,3,0,0,0.1,254,"10,695",0.0 ( 5 ),0.0 ( 5 )
12. Lower Green§,37,39,0.8,0.6,11.4,"169,668","5,647",1.7 ( 23 ),1.2 ( 23 )
13. Lower Rio Grande,31,4,0,0,0,83,"1,795",0.6 ( 6 ),0.0 ( 6 )
14. Lower Sevier,22,41,0.1,0.1,3,"2,937",897,2.1 ( 4 ),0.2 ( 4 )
15. Pecos,44,33,0.3,0.1,3.3,"2,065",331,1.7 ( 2 ),0.1 ( 2 )
16. Provo-Utah Lake-Jordan§,35,36,0.6,0.4,11,"63,031","2,681",5.4 ( 18 ),4.4 ( 16 )
17. Rio Chama-Upper Rio Grande,42,18,0.2,0.1,1.5,"15,495","5,207",1.4 ( 13 ),0.6 ( 13 )
18. Rio Grande Headwaters§,53,31,0.9,0.3,6.5,"135,242","7,595",2.3 ( 14 ),0.6 ( 14 )
19. Roaring Fork§,39,47,3.3,3,34.1,"220,690","1,359",5.0 ( 7 ),3.0 ( 7 )
20. Salt,3,0,0,0,0,0,"2,361",0.0 ( 7 ),0.0 ( 6 )
21. San Juan,43,30,0.6,0.3,6.1,"102,000","6,406",2.1 ( 15 ),1.4 ( 15 )
22. San Pitch,38,36,0.6,0.4,10,"18,123",857,2.3 ( 6 ),1.2 ( 6 )
23. South Platte§,54,54,1.2,0.9,12.8,"265,853","5,620",9.3 ( 21 ),7.7 ( 21 )
24. Southwestern Utah,14,15,0,0,0.5,623,"1,440",0.1 ( 5 ),0.0 ( 5 )
25. Toole Valley-Vernon Creek,48,91,0.1,0.1,3.3,"7,175",906,2.5 ( 4 ),1.8 ( 4 )
26. Upper Arkansas,51,50,0.8,0.6,9.2,"177,215","5,875",1.8 ( 6 ),0.1 ( 6 )
27. Upper Colorado-Dirty Devil,31,17,0.2,0.1,2,"9,810","2,597",0.0 ( 7 ),0.0 ( 7 )
28. Upper Colorado-Dolores§,36,25,0.7,0.3,4.4,"47,996","3,434",2.6 ( 7 ),2.0 ( 8 )
29. Upper Sevier,24,22,0.1,0.1,2.9,"16,813","3,758",1.2 ( 16 ),0.8 ( 16 )
30. Verde,33,19,0,0,0,36,"1,816",0.1 ( 7 ),0.1 ( 7 )
31. Weber-Ogden,34,40,0.5,0.5,13.7,"51,119","2,041",2.7 ( 17 ),1.9 ( 16 )
32. White-Yampa§,42,48,1.3,1.2,16.5,"378,376","5,948",6.6 ( 15 ),5.4 ( 15 )
