,4/12/2026,4/19/2026,4/12/2026,4/19/2026,4/19/2026,4/19/2026,4/19/2026,4/12/2026,4/19/2026,4/19/2026
Basin,%4/12 Avg.,%4/19 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,SNODAS (in.)*
1. Alvord Lake,20,28,0.6,0.7,4.9,"11,391",322.7,NA,NA,0.4
2. Bitterroot,85,97,7.7,7.8,45,"817,478","1,955.00",11.4 ( 4 ),11.1 ( 4 ),9.3
3. Carson,15,13,0.8,0.7,11.5,"53,345","1,407.70",3.7 ( 7 ),3.4 ( 7 ),0.8
4. Clearwater Basin,82,93,5.1,5.3,30.8,"2,104,401","7,475.20",18.7 ( 11 ),19.5 ( 11 ),9.8
5. Clover Valley and Franklin,12,19,0.1,0.1,0.8,"21,100","4,115.00",0.0 ( 2 ),0.0 ( 2 ),0
6. Donner und Blitzen,25,34,2.1,2.4,16,"27,760",219.9,4.3 ( 2 ),5.0 ( 2 ),2
7. Dry Lake Valley,2,3,0,0,0.5,466,296.3,NA,NA,0
8. Eastern Nevada,3,5,0.1,0.1,1.2,"17,462","4,375.20",0.7 ( 8 ),0.6 ( 8 ),0.1
9. Flathead,125,136,6.5,6.8,33.9,"2,780,022","7,644.30",19.1 ( 13 ),19.7 ( 13 ),11.7
10. Grande Ronde-Burnt-Powder-Imnaha,42,52,2.1,2.2,10.9,"614,848","5,316.00",3.2 ( 11 ),3.8 ( 11 ),2.1
11. Guano,1,0,0,0,0,49,"2,062.90",0.0 ( 1 ),0.0 ( 1 ),0
12. Harney-Malheur Lakes,0,0,0,0,0,0,280.6,NA,NA,0
13. John Day,18,25,0.8,0.9,8.2,"74,884","1,504.70",0.0 ( 2 ),0.0 ( 2 ),0.6
14. Kootenai,76,95,4.2,4.4,21.8,"392,345","1,671.80",15.2 ( 5 ),16.0 ( 5 ),10.4
15. Lake County-Goose Lake,6,7,0.2,0.1,1.2,"27,828","3,623.70",1.9 ( 2 ),1.4 ( 2 ),0
16. Little Humboldt,4,5,0.1,0.1,0.9,"2,224",420.8,0.2 ( 3 ),0.1 ( 3 ),0
17. Lower Clark Fork,92,109,7.6,7.8,44.2,"615,497","1,474.70",37.4 ( 4 ),39.0 ( 4 ),17
18. Lower Humboldt,4,7,0,0.1,0.7,774,272.6,0.0 ( 1 ),0.0 ( 1 ),0
19. Lower Pend Oreille,86,99,7.8,8.1,46.3,"57,919",133.4,12.8 ( 1 ),13.5 ( 1 ),17.8
20. Lower Snake-Asotin,16,25,0.2,0.3,3,"4,483",333.7,0.0 ( 1 ),0.0 ( 1 ),0.5
21. Lower Snake-Tucannon,27,40,1.1,1.3,12.6,"7,255",108.3,NA,NA,3.2
22. Lower Yakima,16,20,0.6,0.6,4.4,"14,797",485,7.8 ( 2 ),7.3 ( 2 ),1.2
23. Malheur,15,23,0.6,0.6,5.6,"32,734",989.2,0.0 ( 3 ),0.0 ( 3 ),0.2
24. Middle Humboldt,2,3,0,0,0.1,539,633,NA,NA,0
25. Northern Big Smoky Valley,5,7,0.1,0.2,3.1,"4,672",572.8,NA,NA,0
26. Northern Great Basin,5,9,0.1,0.1,0.5,"7,346","2,224.90",0.0 ( 2 ),0.0 ( 2 ),0
27. Panhandle Basins,77,91,4.1,4.2,23.3,"372,470","1,644.60",19.8 ( 3 ),20.8 ( 3 ),9.2
28. Reese,2,3,0.1,0.1,1.7,"2,007",496.9,0.0 ( 2 ),0.0 ( 2 ),0
29. Rock,0,1,0,0,0,63,835.5,0.0 ( 1 ),0.0 ( 1 ),0
30. Salmon Basin,70,81,6.8,7.2,48.3,"4,580,171","11,950.50",14.2 ( 11 ),15.3 ( 11 ),7.8
31. Silver,0,0,0,0,0,0,444.3,NA,NA,0
32. Silvies,3,6,0,0,0.3,"2,853","1,317.40",0.0 ( 2 ),0.0 ( 2 ),0
33. Southern Snake Basins,7,11,0.1,0.1,0.7,"60,673","12,552.70",1.7 ( 13 ),1.8 ( 13 ),0.1
34. Spokane,55,72,1.5,1.6,10.2,"263,735","3,142.80",5.9 ( 8 ),5.9 ( 8 ),5
35. St. Mary,107,107,9.7,10,52.5,"355,910",668.1,0.0 ( 1 ),0.0 ( 1 ),8.7
36. Truckee,11,9,0.6,0.6,9.5,"44,374","1,443.60",5.7 ( 9 ),5.6 ( 9 ),1
37. Umatilla-Walla Walla-Willow,6,9,0.1,0.1,0.9,"6,157","1,434.30",3.3 ( 7 ),3.8 ( 7 ),0.3
38. Upper Humboldt,19,26,0.3,0.3,1.9,"70,359","5,035.80",1.2 ( 8 ),1.1 ( 8 ),0.1
39. Walker,24,19,1,0.9,11.1,"89,420","1,942.90",8.2 ( 7 ),8.5 ( 7 ),1.4
40. West Central Basins,47,58,4.7,5,31.4,"1,519,140","5,702.10",7.6 ( 16 ),9.2 ( 16 ),6.1
