,2/8/2026,2/15/2026,2/8/2026,2/15/2026,2/15/2026,2/15/2026,2/15/2026,2/8/2026,2/15/2026,2/15/2026
Basin,%2/8 Avg.,%2/15 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,SNODAS (in.)*
1. Central Columbia,86,80,11.2,10.3,57.4,"1,171,162","2,129.50",17.1 ( 6 ),17.2 ( 6 ),19.9
2. Central Puget Sound,135,119,6.9,7,31,"464,924","1,246.10",13.0 ( 5 ),14.5 ( 5 ),16.6
3. Hood-Sandy-Lower Deschutes,26,28,0.5,0.6,7.4,"164,872","5,083.40",4.5 ( 10 ),5.2 ( 10 ),3.4
4. Klamath,9,11,0.4,0.5,7.5,"185,354","7,543.00",2.6 ( 16 ),3.0 ( 16 ),1
5. Lewis,26,26,0.7,0.8,7,"24,566",583.2,8.1 ( 7 ),9.3 ( 7 ),6.1
6. Lower Cowlitz,31,32,2,2.2,23.4,"22,742",190.5,4.3 ( 2 ),5.0 ( 2 ),3.6
7. Naches,49,49,3.2,3.3,33.8,"107,491",614,14.9 ( 4 ),15.2 ( 4 ),12.4
8. North Puget Sound,124,116,7.4,7.4,32.1,"924,605","2,342.10",21.1 ( 9 ),22.3 ( 9 ),24.1
9. Olympic,49,50,6.7,7.2,38.8,"90,351",236.4,9.1 ( 3 ),9.9 ( 3 ),14.4
10. Rogue-Umpqua,18,20,0.5,0.6,5.7,"102,694","3,388.60",0.8 ( 6 ),1.1 ( 6 ),0.9
11. South Puget Sound,38,37,1.4,1.4,10.2,"85,037","1,146.00",6.2 ( 13 ),6.5 ( 12 ),9.4
12. Upper Columbia,64,63,5.7,5.1,39.9,"1,499,623","5,486.20",9.4 ( 7 ),9.5 ( 7 ),8.6
13. Upper Cowlitz,58,56,2.4,2.5,15.5,"96,304",717.7,10.3 ( 3 ),11.5 ( 3 ),13.2
14. Upper Deschutes-Crooked,13,14,0.6,0.6,8.3,"196,356","5,681.70",4.3 ( 7 ),5.3 ( 7 ),1.8
15. Upper Yakima,58,52,4.7,4.3,36.5,"234,877","1,031.70",7.1 ( 3 ),7.4 ( 3 ),7.4
16. Willamette,25,27,0.2,0.3,2.9,"163,837","11,470.90",1.8 ( 18 ),2.5 ( 18 ),0.8
